CRIM,NOX,RM,RAD,TAX,PRICE
0.00632,0.538,6.575,1,296,24
0.02731,0.469,6.421,2,242,21.6
0.02729,0.469,7.185,2,242,34.7
0.03237,0.458,6.998,3,222,33.4
0.06905,0.458,7.147,3,222,36.2
0.02985,0.458,6.43,3,222,28.7
0.08829,0.524,6.012,5,311,22.9
0.14455,0.524,6.172,5,311,27.1
0.21124,0.524,5.631,5,311,16.5
0.17004,0.524,6.004,5,311,18.9
0.22489,0.524,6.377,5,311,15
0.11747,0.524,6.009,5,311,18.9
0.09378,0.524,5.889,5,311,21.7
0.62976,0.538,5.949,4,307,20.4
0.63796,0.538,6.096,4,307,18.2
0.62739,0.538,5.834,4,307,19.9
1.05393,0.538,5.935,4,307,23.1
0.7842,0.538,5.99,4,307,17.5
0.80271,0.538,5.456,4,307,20.2
0.7258,0.538,5.727,4,307,18.2
1.25179,0.538,5.57,4,307,13.6
0.85204,0.538,5.965,4,307,19.6
1.23247,0.538,6.142,4,307,15.2
0.98843,0.538,5.813,4,307,14.5
0.75026,0.538,5.924,4,307,15.6
0.84054,0.538,5.599,4,307,13.9
0.67191,0.538,5.813,4,307,16.6
0.95577,0.538,6.047,4,307,14.8
0.77299,0.538,6.495,4,307,18.4
1.00245,0.538,6.674,4,307,21
1.13081,0.538,5.713,4,307,12.7
1.35472,0.538,6.072,4,307,14.5
1.38799,0.538,5.95,4,307,13.2
1.15172,0.538,5.701,4,307,13.1
1.61282,0.538,6.096,4,307,13.5
0.06417,0.499,5.933,5,279,18.9
0.09744,0.499,5.841,5,279,20
0.08014,0.499,5.85,5,279,21
0.17505,0.499,5.966,5,279,24.7
0.02763,0.428,6.595,3,252,30.8
0.03359,0.428,7.024,3,252,34.9
0.12744,0.448,6.77,3,233,26.6
0.1415,0.448,6.169,3,233,25.3
0.15936,0.448,6.211,3,233,24.7
0.12269,0.448,6.069,3,233,21.2
0.17142,0.448,5.682,3,233,19.3
0.18836,0.448,5.786,3,233,20
0.22927,0.448,6.03,3,233,16.6
0.25387,0.448,5.399,3,233,14.4
0.21977,0.448,5.602,3,233,19.4
0.08873,0.439,5.963,4,243,19.7
0.04337,0.439,6.115,4,243,20.5
0.0536,0.439,6.511,4,243,25
0.04981,0.439,5.998,4,243,23.4
0.0136,0.41,5.888,3,469,18.9
0.01311,0.403,7.249,5,226,35.4
0.02055,0.41,6.383,2,313,24.7
0.01432,0.411,6.816,5,256,31.6
0.15445,0.453,6.145,8,284,23.3
0.10328,0.453,5.927,8,284,19.6
0.14932,0.453,5.741,8,284,18.7
0.17171,0.453,5.966,8,284,16
0.11027,0.453,6.456,8,284,22.2
0.1265,0.453,6.762,8,284,25
0.01951,0.4161,7.104,3,216,33
0.03584,0.398,6.29,4,337,23.5
0.04379,0.398,5.787,4,337,19.4
0.05789,0.409,5.878,4,345,22
0.13554,0.409,5.594,4,345,17.4
0.12816,0.409,5.885,4,345,20.9
0.08826,0.413,6.417,4,305,24.2
0.15876,0.413,5.961,4,305,21.7
0.09164,0.413,6.065,4,305,22.8
0.19539,0.413,6.245,4,305,23.4
0.07896,0.437,6.273,5,398,24.1
0.09512,0.437,6.286,5,398,21.4
0.10153,0.437,6.279,5,398,20
0.08707,0.437,6.14,5,398,20.8
0.05646,0.437,6.232,5,398,21.2
0.08387,0.437,5.874,5,398,20.3
0.04113,0.426,6.727,4,281,28
0.04462,0.426,6.619,4,281,23.9
0.03659,0.426,6.302,4,281,24.8
0.03551,0.426,6.167,4,281,22.9
0.05059,0.449,6.389,3,247,23.9
0.05735,0.449,6.63,3,247,26.6
0.05188,0.449,6.015,3,247,22.5
0.07151,0.449,6.121,3,247,22.2
0.0566,0.489,7.007,2,270,23.6
0.05302,0.489,7.079,2,270,28.7
0.04684,0.489,6.417,2,270,22.6
0.03932,0.489,6.405,2,270,22
0.04203,0.464,6.442,4,270,22.9
0.02875,0.464,6.211,4,270,25
0.04294,0.464,6.249,4,270,20.6
0.12204,0.445,6.625,2,276,28.4
0.11504,0.445,6.163,2,276,21.4
0.12083,0.445,8.069,2,276,38.7
0.08187,0.445,7.82,2,276,43.8
0.0686,0.445,7.416,2,276,33.2
0.14866,0.52,6.727,5,384,27.5
0.11432,0.52,6.781,5,384,26.5
0.22876,0.52,6.405,5,384,18.6
0.21161,0.52,6.137,5,384,19.3
0.1396,0.52,6.167,5,384,20.1
0.13262,0.52,5.851,5,384,19.5
0.1712,0.52,5.836,5,384,19.5
